,sub,abs_sub
135,(-2.001411063249096-0.9763930016624589j),2.226878878
136,(2.7002909724062527-1.1693869750448374j),2.942624209
137,(-5.2236930662426575-2.1704396833373436j),5.656657818
138,(1.4176177539517432-5.370443484714638j),5.554394955
139,(-2.9907058404624536-0.008726551573445374j),2.990718572
140,(2.928719515356713-2.0926251697186453j),3.599510814
141,(-2.2141136880239216-1.5483958241059956j),2.701819582
142,(2.6705107098532275+2.47730159389204j),3.642615906
143,(-0.1692328740783453-3.728338567107217j),3.732177412
144,(2.282978529385462+0.2445574610162471j),2.296039921
145,(0.07285182603034057+2.1089343338470687j),2.110192269
146,(-1.8515557725966278+0.23834667005983468j),1.86683366
147,(1.9348515361593441+0.937054896946282j),2.149819143
148,(-1.1505359413481253+2.513985001159421j),2.764751985
149,(0.5790286220811822+1.8931738503653732j),1.979742754
150,(-2.6365919089311634-3.1060022297452248j),4.074170682
151,(0.04844849329280132+2.9577159146980874j),2.95811269
152,(-2.019327753041084-3.518741009817705j),4.056996779
153,(-1.9206786053320712-0.06344528211721867j),1.921726205
154,(-3.171945823592268-0.8293936881404621j),3.278587226
155,(-1.5655893192447001-0.10690879830140965j),1.569235294
156,(0.8813216059119396-1.1675211634197256j),1.462816954
157,(0.023986284956697412+1.2243764360100706j),1.224611366
158,(-0.47242266572237046-0.8399419568506334j),0.963683385
159,(1.5183611998730981-1.8403765369080927j),2.38587647
160,(0.2531546594085794+1.1888296551244997j),1.215484772
161,(0.7247296598989473-1.8800651411674847j),2.014913898
162,(-0.14971755379803575-0.07228550731636196j),0.166254445
163,(2.6490890869313315-0.7822208297762367j),2.762162634
164,(-2.2395802542362326-1.1081617258439382j),2.498748112
165,(0.8663304869811572-0.4262712709128278j),0.965523541
166,(-0.31770504310954806-1.9870227549768904j),2.012261395
167,(0.811452023182671+3.085804496198437j),3.190712111
168,(0.3841962524512621+2.664913211270767j),2.692465261
169,(-0.5279231605920365+2.2803323576766568j),2.340644895
170,(-1.238321175694869-0.04025365937351566j),1.238975259
171,(-0.3190518644502638+0.6280045245599255j),0.704403134
172,(0.7754624860879122+1.486295191950272j),1.67642938
173,(-0.14601489019455183-0.7344177493357128j),0.748792213
174,(1.172669783827447+1.2535578580029025j),1.716555191
175,(0.15694457992614774+0.05138421277944305j),0.165142177
176,(-0.5335620394889737+0.059925851724361046j),0.536916714
177,(0.6933321724584403+0.8016174611171902j),1.059858507
178,(-1.0565012034339802-0.6015280422879141j),1.215742892
179,(-0.030944495786232373+1.057486120876983j),1.057938778
180,(1.5573267058233495-0.4050842984353129j),1.609148768
181,(-1.0502153923577173-0.19831347652282771j),1.068775283
182,(0.26039807337054777-0.43183433889152334j),0.504269821
183,(-0.7226992830592687+0.16640534388868122j),0.74160973
184,(1.4899964704186264+0.8118873846288981j),1.696835469
185,(-2.138483898609503+0.31330132375741604j),2.161312357
186,(1.6187855694323723+0.008895993490657617j),1.618810013
187,(-1.3484666355040034-0.006536948353472294j),1.34848248
188,(1.1447243469139083-0.43018192453783244j),1.222886061
189,(0.30189757040708354+1.095075327404297j),1.135927866
190,(0.44886271214314005-0.2470360745314215j),0.512351985
191,(-1.5259579000524255+0.6896397173654253j),1.674559779
192,(0.46515795626054224+0.34079197266043326j),0.576637748
193,(0.5121433806455244+1.4785322842426183j),1.564719961
194,(-0.5303176433609604+0.27732635179751863j),0.598453597
195,(-0.15746637769140803-0.5151382228944494j),0.538667846
196,(-1.5800326558565785-0.06810307762577672j),1.581499675
197,(-0.5672505080788843+0.6912446674798529j),0.894199267
198,(-0.395863894102203-1.4956286444374265j),1.547130655
199,(-0.8449734446042712+0.42157744672842146j),0.94430274
200,(-0.4547542485937299-0.39709737489259367j),0.60372821
201,(0.896876963678749+0.07171854342265582j),0.899739872
202,(-0.4217111520768971-1.0450300948792353j),1.126910908
203,(-0.4289381627961269+1.2140487782261071j),1.287595582
204,(0.34604916094605565-1.1212301981638995j),1.173416882
205,(1.2890755467251769+1.9448276823669586j),2.333253197
206,(0.25945867158644625-1.1034279176844988j),1.133521933
207,(0.2924406142177879+1.9857593151493682j),2.007177513
208,(1.5630099710259264-0.9279537344659388j),1.817717883
209,(-0.29012156192164784+0.5618663298204496j),0.632348237
210,(0.8252127677263902-0.20873241699204825j),0.851202287
211,(-1.0892774984013867+0.06828959447882832j),1.091416024
212,(0.021416613366144865-0.8364932914007205j),0.83676741
213,(-1.2141644144828625+0.654969686708935j),1.379558087
214,(0.8242212644240663+0.25314135794360093j),0.862218789
215,(-1.3898736966098202-0.609479173508962j),1.517634263
216,(0.2206547313979915+0.6569698686471281j),0.693035294
217,(-0.18014074955891501-0.2852145262266964j),0.337339615
218,(-0.8078669071959189+0.2793026809102078j),0.854785896
219,(0.2655628987530164+0.3633491072674656j),0.45005136
220,(-0.0048746821304856+0.4177371039652348j),0.417765545
221,(-0.4212847906068822+0.5589252427997973j),0.699913067
222,(-0.2335076005568984+0.14366800597642862j),0.274164723
223,(0.5411556743590704+0.5825296736113232j),0.795103946
224,(-0.02592734291447088+0.46103253402766914j),0.461761004
225,(0.07771746391986326-0.44690401947434805j),0.453611295
226,(-0.5176088961450884+0.1937809755579857j),0.552693438
227,(-0.22322449023386548-0.40876663011902103j),0.465745994
228,(-0.7816961199392058+0.5139993537350167j),0.935544846
229,(0.14498242343983936+0.32640771155086123j),0.357158084
230,(0.3577335770903166+0.06322563864375519j),0.363277846
231,(-0.1836545106429113+0.3122581369600197j),0.362262506
232,(0.4180202211340529+1.2259363975290858j),1.29524552
233,(-0.2694463721326519-0.3125186599256131j),0.412636959
234,(-0.15053033612899924+0.19478637312563163j),0.246172934
235,(-0.132330702881038+0.44518272851545826j),0.464434147
236,(-0.5228527265980267+0.19269912667801703j),0.557232382
237,(-0.10079388871664624+0.0745248351845127j),0.125352938
238,(-0.0459049224159212-0.20732552250952982j),0.212346731
239,(-0.3696160235840067-0.076276272705469j),0.377404391
240,(-0.1993216423776336-0.1627367000565111j),0.257317607
241,(-0.5128954707747865-0.24474278550370165j),0.568296397
242,(-0.3112232644735526-0.2035979748665108j),0.371903288
243,(-0.19328145452015716-0.016099523188538106j),0.193950806
244,(-0.6158241965015179+0.8825182403852609j),1.076140272
245,(0.19045649185483549+0.41713507733512434j),0.4585579
246,(-0.17158970406873864+0.1914634220383653j),0.25710167
247,(-0.12251658117317579+0.3612702997851593j),0.381479413
248,(-0.5370351183470138-0.13426255696695488j),0.553564046
249,(-0.09029092243305203-0.19502242699083183j),0.214909743
250,(-0.1749999999999996+0.1550000000000003j),0.233773395
251,(-0.2007102341245986+0.29798339581237904j),0.359275246
252,(-0.3109998950661607+0.02703252674054557j),0.312172536
253,(0.22379224752911409+0.9949908212568116j),1.019847883
254,(-0.10432237242854414-0.5275252578528213j),0.537741625
255,(-0.17221789560924844+0.12118595094721857j),0.210582616
256,(-0.39962984937534973+0.26526783229594586j),0.47965721
257,(-0.16426579499229033-0.38754090641026717j),0.420917101
258,(-0.5882233297460168-0.19974551501883125j),0.621212489
259,(-0.24293174205526546+0.5923161247037547j),0.640198581
260,(-0.27805305102296796-0.3883654938351349j),0.477641347
261,(-0.039789176109739866-0.25622180129340366j),0.259292865
262,(0.11046164321173679+0.25167021411611734j),0.274844813
263,(-0.5266071703465923-0.33364014268080766j),0.623402644
264,(0.07646075739226+0.1024124805008445j),0.127806743
265,(-0.31420082195293286-0.35271449793076437j),0.472366038
266,(0.1933139969779758-0.3017183495751604j),0.358335407
267,(-0.6246743386428022-0.13040085073712926j),0.638139805
268,(-0.2551325730208989+0.1759033132592669j),0.309894507
269,(-0.46343765979702534+0.2752995788495581j),0.539040186
270,(0.22129469821988568+0.26185318987650097j),0.342838791
271,(-0.13017861779348278+0.2665415351968925j),0.296632538
272,(-0.09780733990964252-0.24875713985877618j),0.267294576
273,(-0.023647999968006095+0.5812664526992494j),0.581747296
274,(-0.14353813813579297-0.5042078691937949j),0.52424114
275,(-0.4184860513619754-0.11393527373713724j),0.433718597
276,(-0.24149779854085462+0.05346069102464357j),0.24734436
277,(0.13892243698528306+0.049231219750732746j),0.147387776
278,(-0.1906748950677919-0.28768205433258737j),0.345134582
279,(-0.26410958117943223+0.2486911147109634j),0.362768716
280,(-0.04544349820993154+0.2592862888995531j),0.263238468
281,(-0.11332417536243256-0.433265543329758j),0.44784082
282,(-0.19452288096936185+0.21165683152044978j),0.287467851
283,(-0.1082940887234985+0.1261574976699214j),0.166262816
284,(-0.00324822388853252+0.3508384117321648j),0.350853448
285,(0.050294968889313285+0.03456431953923145j),0.061026847
286,(0.042855880073984776+0.2999650642709344j),0.303011
287,(-0.44940482103098933-0.04992239820775768j),0.452169149
288,(-0.03988186288018952+0.02745017180050613j),0.048415647
289,(-0.41999062354951333-0.10482187593465159j),0.432873826
290,(0.12462824456859689-0.25799389872305056j),0.28651885
291,(-0.43079065400983285-0.23436567013112997j),0.490416002
292,(-0.5527254940911168+0.004620925768363593j),0.55274481
293,(-0.18504802018886835-0.1458212789717389j),0.235598419
294,(-0.316433341975497+0.3813825913431177j),0.495563054
295,(0.06117107832173585-0.38997936991752824j),0.39474778
296,(-0.5244188322023158-0.007642013976595641j),0.52447451
297,(0.41999936339605526-0.2920176191672415j),0.51154057
298,(-0.2878312052819172-0.14292368883550477j),0.321362698
299,(0.3022262687304304+0.10284830623565311j),0.319246757
300,(-0.3276315561749668+0.2634559657327918j),0.420418223
301,(0.05937085231341749+0.1840724890501524j),0.193410391
302,(-0.09578280357937577+0.2188138240250812j),0.238859446
303,(0.22194667782880673+0.05446188038254096j),0.228531014
304,(-0.03450018945977684-0.013409820003716488j),0.037014677
305,(-0.13859014213093346-0.2418642819406629j),0.278757167
306,(-0.0291446237636388+0.15656222594485325j),0.159251812
307,(0.1665182466954027-0.24949655234638823j),0.299961424
308,(-0.5233260253681347+0.26912513995164633j),0.588471299
309,(-0.10866604083014275+0.07668288545260538j),0.132998396
310,(-0.29056566378506227-0.20903237551109105j),0.357942648
311,(0.14572269274250438+0.24729011663439426j),0.287032237
312,(-0.20096667942281643-0.15509087090643836j),0.253851895
313,(-0.07965462893165398-0.42616425446094053j),0.433544498
314,(0.0532851732556332-0.041075534395515256j),0.067279337
315,(0.1785704472851477+0.3533265487524787j),0.395887679
316,(-0.17567730593481246+0.07410406472011592j),0.190667061
317,(-0.08191312815822727+0.03239788109456232j),0.088087362
318,(0.18487702529394495+0.15353682802274893j),0.240318688
319,(0.09121124826818018-0.2231008414797968j),0.241025885
320,(-0.14181253100551516+0.10474766361506305j),0.176303338
321,(-0.18093693980501713-0.21793311423728134j),0.283254335
322,(-0.22294897949367987+7.438262408143714e-05j),0.222948992
323,(0.24317110563231026-0.36592205465191685j),0.439353089
324,(-0.1461576395963018+0.12762869918451608j),0.194039018
325,(-0.3243639478478614-0.32402822910711526j),0.458482567
326,(0.0039185333375136855+0.22739065179696843j),0.227424413
327,(-0.18778612484399015-0.371617463875356j),0.416369029
328,(-0.11851492985085388-0.061141583956612955j),0.133356972
329,(0.35325991604582896-0.07781791184925702j),0.361729451
330,(0.08009698153975864-0.0250100247846734j),0.083910832
331,(0.0375556597485156+0.44746697290946713j),0.44904022
332,(-0.18400618425593152-0.06833513828817539j),0.196285422
333,(-0.5512463691783258-0.13607057589523697j),0.567792005
334,(0.20547381006619858+0.3686471371665838j),0.422042887
335,(0.12678059842536227+0.057141164203935446j),0.139062694
336,(-0.15609748369079313+0.3704811819372408j),0.402023296
337,(-0.19497228132257893-0.5029465035264185j),0.539415773
338,(0.00804673252078203+0.06714698469980185j),0.067627416
339,(-0.1742058144367924+0.2147749667948693j),0.276542858
340,(-0.11433635423133226-0.14503035016834898j),0.184679735
341,(-0.05608842975956163-0.08597021784771464j),0.102648869
342,(0.20216235346320577+0.23567195483684j),0.310501026
343,(-0.011792512912837338+0.23392381367164694j),0.234220866
344,(-0.2103073968400313+0.17374822272045032j),0.272795979
345,(0.018070943316213617-0.2499635235673705j),0.250615886
346,(-0.16031419531845792+0.21863418377248206j),0.271111688
347,(-0.04089836941441227-0.1268534188720576j),0.133283407
348,(-0.16957227070193093-0.3756743953421964j),0.412172302
349,(0.027976670517317004+0.17483078569741917j),0.17705507
350,(-0.14440069358751417-0.22240863391021382j),0.265173831
351,(-0.2837360592782727-0.06641558717902485j),0.291405528
352,(0.007601109904463055+0.034075862099743226j),0.034913339
353,(0.15269525356801594-0.10303369885311353j),0.184205818
354,(0.10555488108201594-0.0009107600296497376j),0.10555881
355,(0.0797593027893031-0.014513352271741553j),0.081069006
356,(-0.061156873754403485-0.31139293922695543j),0.317341655
357,(-0.07628172696967717+0.1462797251766803j),0.164974725
358,(0.16738522562679958+0.08630337481210759j),0.188324418
359,(-0.27186684040371323-0.11107247696041878j),0.293681246
360,(-0.3874581105170378+0.1256516623672388j),0.407323124
361,(-0.09188056373771691-0.18894778414889335j),0.210103077
362,(-0.05383191023759437-0.04187951005706747j),0.06820387
363,(-2.6647543534319418e-05-0.222485623025368j),0.222485625
364,(-0.27278642650211804+0.11313956763268745j),0.295318466
365,(-0.12139549273620176+0.1810314681603833j),0.217966186
366,(-0.14246953970097032+0.059932226247530584j),0.154562096
367,(-0.10117772535913544+0.019892507365638856j),0.103114713
368,(0.0765487974733996-0.0041551200014726675j),0.076661486
369,(-0.4256891284423805-0.011717492987571632j),0.425850365
370,(0.16270736584754086+0.21595383358188602j),0.270388138
371,(-0.3306599036424125-0.14703592517871034j),0.36187779
372,(-0.18244787930529327+0.14484063765922617j),0.232950722
373,(-0.3084795952702096-0.20118333952672462j),0.368285754
374,(-0.09114542813831239+0.1408559763028867j),0.167773345
375,(-0.1336426740299781+0.41417045251633716j),0.435198263
376,(-0.20703099859153884+0.1822922899897943j),0.275848352
377,(0.19213182382969984+0.1343432121373671j),0.234441328
378,(0.0076617838198534335+0.05381450060735782j),0.054357184
379,(-0.183507385101485+0.039514886791497617j),0.187713576
380,(-0.03236771875694844+0.20542361893306982j),0.207958006
381,(-0.010583620939941252+0.3027313211077185j),0.302916269
382,(-0.15808751044109703-0.0964668935848012j),0.185195903
383,(0.14087320889972954-0.19317068532973813j),0.239081941
384,(-0.17226157429959787+0.041710716029886186j),0.177239482
385,(-0.32375617245922705+0.26837327882322803j),0.420526189
386,(-0.0061651576165475674-0.21576877949232198j),0.21585684
387,(-0.03288787440577334-0.2337046993705023j),0.236007413
388,(-0.11726164948332629-0.10167794743445491j),0.155205346
389,(-0.0313016426357301+0.05243974536468654j),0.061071431
390,(-0.060361837477739155+0.0600180958703973j),0.085121814
391,(-0.23940716998484368+0.28175592524232695j),0.369732599
392,(-0.19973981522667117+0.24270800635078277j),0.314329716
393,(-0.13083977301238203-0.024408478921869925j),0.133097032
394,(-0.10036339206797318-0.1254246164019044j),0.160636686
395,(0.08602295784281444+0.3609094410166187j),0.371019641
396,(0.26092388580298476-0.12530432875205255j),0.28945198
397,(-0.1327471447075954+0.20455336990427941j),0.24385218
398,(-0.16339485434857637+0.10526082614407528j),0.194364914
399,(-0.05227068195961504+0.025329721340821898j),0.058084585
